"행정구역","2022년08월_계_총인구수","2022년08월_계_연령구간인구수","2022년08월_계_0세","2022년08월_남_총인구수","2022년08월_남_연령구간인구수","2022년08월_남_0세","2022년08월_여_총인구수","2022년08월_여_연령구간인구수","2022년08월_여_0세"
"서울특별시 강남구 삼성2동(1168059000)","30,916","127","127","14,825","63","63","16,091","64","64"
"서울특별시 강남구 대치1동(1168060000)","23,940","32","32","12,007","15","15","11,933","17","17"
"서울특별시 강남구 대치2동(1168061000)","37,023","87","87","18,720","41","41","18,303","46","46"
"서울특별시 강남구 대치4동(1168063000)","19,514","34","34","9,278","20","20","10,236","14","14"
"서울특별시 강남구 역삼1동(1168064000)","35,117","93","93","17,060","46","46","18,057","47","47"
"서울특별시 강남구 역삼2동(1168065000)","36,999","127","127","17,322","72","72","19,677","55","55"
"서울특별시 강남구 도곡1동(1168065500)","21,325","94","94","10,108","51","51","11,217","43","43"
"서울특별시 강남구 도곡2동(1168065600)","32,905","109","109","15,289","65","65","17,616","44","44"
"서울특별시 강남구 개포1동(1168066000)","7,007","19","19","3,404","9","9","3,603","10","10"
"서울특별시 강남구 개포2동(1168067000)","28,284","118","118","13,741","60","60","14,543","58","58"
"서울특별시 강남구 개포4동(1168069000)","23,647","124","124","11,424","62","62","12,223","62","62"
"서울특별시 강남구 세곡동(1168070000)","43,239","191","191","20,391","88","88","22,848","103","103"
"서울특별시 강남구 일원본동(1168072000)","23,120","83","83","11,445","48","48","11,675","35","35"
"서울특별시 강남구 일원1동(1168073000)","14,954","65","65","7,278","29","29","7,676","36","36"
"서울특별시 강남구 일원2동(1168074000)","17,504","84","84","8,458","41","41","9,046","43","43"
"서울특별시 강남구 수서동(1168075000)","14,531","80","80","6,579","38","38","7,952","42","42"
"서울특별시 송파구 (1171000000)","662,599","3,206","3,206","319,164","1,654","1,654","343,435","1,552","1,552"
"서울특별시 송파구 풍납1동(1171051000)","12,575","59","59","6,174","38","38","6,401","21","21"
"서울특별시 송파구 풍납2동(1171052000)","24,396","139","139","11,560","75","75","12,836","64","64"
"서울특별시 송파구 거여1동(1171053100)","12,307","46","46","6,180","26","26","6,127","20","20"
"서울특별시 송파구 거여2동(1171053200)","23,611","156","156","11,569","85","85","12,042","71","71"
