,결과,득점_득점,공격종합성공률,후위성공률,퀵오픈성공률,서브성공률,디그성공률,세트성공률,리시브성공률,블로킹성공률,팀명_GS칼텍스,팀명_IBK기업은행,팀명_KGC인삼공사,팀명_페퍼저축은행,팀명_한국도로공사,팀명_현대건설,팀명_흥국생명,상대팀_GS칼텍스,상대팀_IBK기업은행,상대팀_KGC인삼공사,상대팀_페퍼저축은행,상대팀_한국도로공사,상대팀_현대건설,상대팀_흥국생명
765,0,83,0.4161490683229814,0.4375,0.375,0.0,0.7596153846153846,0.4,0.3557692307692308,0.18604651162790697,0,0,0,0,0,1,0,0,0,1,0,0,0,0
766,0,84,0.37967914438502676,0.4666666666666667,0.25,0.009708737864077669,0.859375,0.3385416666666667,0.3402061855670103,0.12244897959183673,0,0,0,0,0,1,0,1,0,0,0,0,0,0
767,1,74,0.5,0.5833333333333334,0.47058823529411764,0.03225806451612903,0.8064516129032258,0.43333333333333335,0.4307692307692308,0.18309859154929578,0,0,0,0,0,1,0,0,0,0,0,0,0,1
768,1,81,0.36046511627906974,0.4,0.36666666666666664,0.09473684210526316,0.8717948717948718,0.32571428571428573,0.4090909090909091,0.12658227848101267,0,0,0,0,0,1,0,0,0,0,0,1,0,0
769,1,76,0.44360902255639095,0.48,0.47619047619047616,0.053763440860215055,0.8977272727272727,0.424,0.3939393939393939,0.1791044776119403,0,0,0,0,0,1,0,0,1,0,0,0,0,0
770,1,61,0.4424778761061947,0.6,0.36363636363636365,0.05555555555555555,0.8352941176470589,0.37962962962962965,0.42,0.1590909090909091,0,0,0,0,0,1,0,0,0,0,0,1,0,0
771,1,69,0.38405797101449274,0.4,0.5,0.10465116279069768,0.8390804597701149,0.35877862595419846,0.32894736842105265,0.12280701754385964,0,0,0,0,0,1,0,0,0,0,0,0,0,1
772,1,71,0.39849624060150374,0.5,0.2777777777777778,0.03571428571428571,0.8313253012048193,0.3617021276595745,0.3230769230769231,0.19230769230769232,0,0,0,0,0,1,0,1,0,0,0,0,0,0
773,1,63,0.3712121212121212,0.375,0.40625,0.07142857142857142,0.8297872340425532,0.34108527131782945,0.3684210526315789,0.15517241379310345,0,0,0,0,0,1,0,0,0,1,0,0,0,0
774,1,87,0.4539877300613497,0.5,0.5294117647058824,0.0392156862745098,0.875,0.425531914893617,0.47619047619047616,0.1267605633802817,0,0,0,0,0,1,0,0,0,0,1,0,0,0
775,1,56,0.4772727272727273,0.5,0.6470588235294118,0.10294117647058823,0.8305084745762712,0.42528735632183906,0.44680851063829785,0.12962962962962962,0,0,0,0,0,1,0,1,0,0,0,0,0,0
776,1,48,0.42857142857142855,0.5,0.3333333333333333,0.11940298507462686,0.847457627118644,0.37333333333333335,0.41025641025641024,0.1891891891891892,0,0,0,0,0,1,0,0,0,0,1,0,0,0
777,1,60,0.49038461538461536,0.5,0.5714285714285714,0.07142857142857142,0.8873239436619719,0.44761904761904764,0.2926829268292683,0.07547169811320754,0,0,0,0,0,1,0,0,0,0,0,1,0,0
778,1,70,0.42028985507246375,0.47058823529411764,0.5517241379310345,0.058823529411764705,0.8526315789473684,0.4028776978417266,0.2987012987012987,0.11475409836065574,0,0,0,0,0,1,0,0,1,0,0,0,0,0
779,1,74,0.4626865671641791,0.5,0.41379310344827586,0.056179775280898875,0.7959183673469388,0.4027777777777778,0.4473684210526316,0.09722222222222222,0,0,0,0,0,1,0,0,0,0,0,0,0,1
780,1,80,0.4852941176470588,0.5357142857142857,0.4782608695652174,0.03296703296703297,0.8469387755102041,0.45255474452554745,0.3026315789473684,0.13580246913580246,0,0,0,0,0,1,0,0,0,1,0,0,0,0
781,0,87,0.39444444444444443,0.16666666666666666,0.4864864864864865,0.05102040816326531,0.8376068376068376,0.36363636363636365,0.32989690721649484,0.13580246913580246,0,0,0,0,0,1,0,0,0,0,0,1,0,0
782,1,75,0.4765625,0.5555555555555556,0.38235294117647056,0.044444444444444446,0.8076923076923077,0.4645669291338583,0.43037974683544306,0.14925373134328357,0,0,0,0,0,1,0,1,0,0,0,0,0,0
783,1,48,0.45714285714285713,0.5,0.5714285714285714,0.15873015873015872,0.9230769230769231,0.37623762376237624,0.13333333333333333,0.10344827586206896,0,0,0,0,0,1,0,0,0,0,0,0,0,1
784,1,64,0.4563106796116505,0.47058823529411764,0.45454545454545453,0.0821917808219178,0.8928571428571429,0.3783783783783784,0.3695652173913043,0.1864406779661017,0,0,0,0,0,1,0,0,0,1,0,0,0,0
785,1,53,0.5,0.6,0.4090909090909091,0.04918032786885246,0.8070175438596491,0.4411764705882353,0.39473684210526316,0.21428571428571427,0,0,0,0,0,1,0,0,0,0,1,0,0,0
786,1,52,0.45555555555555555,0.625,0.3076923076923077,0.04838709677419355,0.7746478873239436,0.42990654205607476,0.35,0.18604651162790697,0,0,0,0,0,1,0,0,1,0,0,0,0,0
787,1,78,0.5304347826086957,0.45454545454545453,0.5714285714285714,0.06896551724137931,0.7857142857142857,0.48695652173913045,0.3559322033898305,0.1506849315068493,0,0,0,0,0,1,0,1,0,0,0,0,0,0
788,0,79,0.37222222222222223,0.5,0.2777777777777778,0.01904761904761905,0.8275862068965517,0.3551912568306011,0.4,0.10869565217391304,0,0,0,0,0,1,0,0,0,1,0,0,0,0
789,1,80,0.3551912568306011,0.47368421052631576,0.4444444444444444,0.052083333333333336,0.8776978417266187,0.3333333333333333,0.4146341463414634,0.10309278350515463,0,0,0,0,0,1,0,0,0,0,0,1,0,0
790,1,77,0.4050632911392405,0.5,0.38095238095238093,0.031578947368421054,0.9065420560747663,0.36538461538461536,0.41975308641975306,0.14705882352941177,0,0,0,0,0,1,0,0,1,0,0,0,0,0
791,1,45,0.4375,0.0,0.5263157894736842,0.04,0.8709677419354839,0.4426229508196721,0.40540540540540543,0.1568627450980392,0,0,0,0,0,1,0,0,0,0,1,0,0,0
792,1,69,0.3937007874015748,0.4444444444444444,0.36666666666666664,0.12643678160919541,0.9,0.3671875,0.3787878787878788,0.11940298507462686,0,0,0,0,0,1,0,0,0,0,0,0,0,1
793,1,47,0.45454545454545453,0.4444444444444444,0.46153846153846156,0.05263157894736842,0.9491525423728814,0.36082474226804123,0.3333333333333333,0.20454545454545456,0,0,0,0,0,1,0,0,0,0,0,0,0,1
794,1,46,0.5238095238095238,0.875,0.4444444444444444,0.06666666666666667,0.8536585365853658,0.07692307692307693,0.5555555555555556,0.29411764705882354,0,0,0,0,0,1,0,0,0,0,1,0,0,0
795,0,75,0.4420289855072464,0.631578947368421,0.5384615384615384,0.02247191011235955,0.8,0.4,0.26666666666666666,0.1518987341772152,0,0,0,0,0,1,0,1,0,0,0,0,0,0
796,1,79,0.46206896551724136,0.2631578947368421,0.5675675675675675,0.03571428571428571,0.8526315789473684,0.3412698412698413,0.4266666666666667,0.14754098360655737,0,0,0,0,0,1,0,0,1,0,0,0,0,0
797,0,36,0.28125,0.2,0.47368421052631576,0.045454545454545456,0.7288135593220338,0.2558139534883721,0.3695652173913043,0.16279069767441862,0,0,0,0,0,1,0,0,0,0,0,1,0,0
798,0,70,0.35668789808917195,0.5,0.25,0.021739130434782608,0.8105263157894737,0.3067484662576687,0.34065934065934067,0.16216216216216217,0,0,0,0,0,1,0,0,0,1,0,0,0,0
800,1,82,0.328125,0.42857142857142855,0.4,0.047619047619047616,0.8611111111111112,0.3128205128205128,0.5058823529411764,0.2,0,0,0,0,0,0,1,0,1,0,0,0,0,0
801,1,86,0.39880952380952384,0.5333333333333333,0.42857142857142855,0.07766990291262135,0.8807339449541285,0.36627906976744184,0.4,0.1774193548387097,0,0,0,0,0,0,1,0,0,1,0,0,0,0
802,0,31,0.2916666666666667,0.3,0.6,0.02564102564102564,0.8679245283018868,0.25555555555555554,0.45454545454545453,0.1111111111111111,0,0,0,0,0,0,1,0,0,0,0,0,1,0
803,0,40,0.2905982905982906,0.3181818181818182,0.16666666666666666,0.03773584905660377,0.8607594936708861,0.2824427480916031,0.47619047619047616,0.13333333333333333,0,0,0,0,0,0,1,0,0,0,0,1,0,0
804,0,73,0.40625,0.3333333333333333,0.2631578947368421,0.0392156862745098,0.7889908256880734,0.35428571428571426,0.40404040404040403,0.07407407407407407,0,0,0,0,0,0,1,1,0,0,0,0,0,0
805,0,54,0.359375,0.3157894736842105,0.3,0.041666666666666664,0.8181818181818182,0.3115942028985507,0.44594594594594594,0.10638297872340426,0,0,0,0,0,0,1,0,0,0,0,1,0,0
806,1,49,0.3853211009174312,0.375,0.4666666666666667,0.08571428571428572,0.8701298701298701,0.36153846153846153,0.4444444444444444,0.023809523809523808,0,0,0,0,0,0,1,1,0,0,0,0,0,0
