,결과,득점_득점,공격종합성공률,후위성공률,퀵오픈성공률,서브성공률,디그성공률,세트성공률,리시브성공률,블로킹성공률,팀명_KB손해보험,팀명_OK금융그룹,팀명_대한항공,팀명_삼성화재,팀명_우리카드,팀명_한국전력,팀명_현대캐피탈,상대팀_KB손해보험,상대팀_OK금융그룹,상대팀_대한항공,상대팀_삼성화재,상대팀_우리카드,상대팀_한국전력,상대팀_현대캐피탈
1073,1,73,0.53125,0.4074074074074074,0.5789473684210527,0.06451612903225806,0.6666666666666666,0.5172413793103449,0.4788732394366197,0.3333333333333333,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1074,0,43,0.39325842696629215,0.3333333333333333,0.3157894736842105,0.034482758620689655,0.8703703703703703,0.36,0.43859649122807015,0.1276595744680851,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1075,0,41,0.3595505617977528,0.29411764705882354,0.5714285714285714,0.0273972602739726,0.6444444444444445,0.3258426966292135,0.4657534246575342,0.2,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1076,0,67,0.4649122807017544,0.40540540540540543,0.5833333333333334,0.07368421052631578,0.8035714285714286,0.43243243243243246,0.32558139534883723,0.1320754716981132,0,0,0,0,0,1,0,1,0,0,0,0,0,0
1077,1,69,0.5662650602409639,0.68,0.6470588235294118,0.10843373493975904,0.7948717948717948,0.509090909090909,0.5161290322580645,0.25,0,0,0,0,0,1,0,0,0,0,1,0,0,0
1078,0,72,0.48717948717948717,0.6190476190476191,0.8125,0.02830188679245283,0.7627118644067796,0.45454545454545453,0.45454545454545453,0.21818181818181817,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1079,0,42,0.4473684210526316,0.4,0.5757575757575758,0.06451612903225806,0.71875,0.44,0.423728813559322,0.1111111111111111,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1080,0,42,0.3780487804878049,0.3333333333333333,0.4583333333333333,0.056338028169014086,0.6944444444444444,0.40425531914893614,0.4722222222222222,0.21212121212121213,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1081,1,82,0.5238095238095238,0.5588235294117647,0.6176470588235294,0.05504587155963303,0.7777777777777778,0.49206349206349204,0.3125,0.17857142857142858,0,0,0,0,0,1,0,1,0,0,0,0,0,0
1082,1,63,0.5569620253164557,0.7333333333333333,0.65,0.022988505747126436,0.8571428571428571,0.5584415584415584,0.3958333333333333,0.2833333333333333,0,0,0,0,0,1,0,0,1,0,0,0,0,0
1083,0,50,0.5125,0.35294117647058826,0.6774193548387096,0.02564102564102564,0.8823529411764706,0.45161290322580644,0.421875,0.14583333333333334,0,0,0,0,0,1,0,0,1,0,0,0,0,0
1084,0,47,0.546875,0.4444444444444444,0.5294117647058824,0.08695652173913043,0.7222222222222222,0.46511627906976744,0.41935483870967744,0.17647058823529413,0,0,0,0,0,1,0,0,0,0,1,0,0,0
1085,0,60,0.45614035087719296,0.65,0.3939393939393939,0.0125,0.8333333333333334,0.44660194174757284,0.4383561643835616,0.10144927536231885,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1086,1,86,0.5528455284552846,0.6896551724137931,0.65,0.05714285714285714,0.6716417910447762,0.52,0.3695652173913043,0.19047619047619047,0,0,0,0,0,1,0,1,0,0,0,0,0,0
1097,1,68,0.574468085106383,0.5714285714285714,0.6666666666666666,0.04040404040404041,0.7017543859649122,0.5104166666666666,0.4925373134328358,0.2127659574468085,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1098,0,34,0.352112676056338,0.5833333333333334,0.3125,0.037037037037037035,0.7419354838709677,0.358974358974359,0.4090909090909091,0.19444444444444445,0,0,0,0,0,0,1,1,0,0,0,0,0,0
